"Kod";"Jednostka terytorialna";"Kierunki wykorzystania powierzchni";"Lata";"Jednostka miary";"Wartość";
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne - łąki trwałe";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne - pastwiska trwałe";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne - grunty pod rowami";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"grunty pod wodami razem";"2014";"ha";146;
"1465088";"Praga-Północ - dzielnica (8)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";135;
"1465088";"Praga-Północ - dzielnica (8)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";11;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";914;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";141;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny przemysłowe";"2014";"ha";149;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny inne zabudowane";"2014";"ha";153;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny zurbanizowane niezabudowane";"2014";"ha";29;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny rekreacji i wypoczynku";"2014";"ha";87;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - drogi";"2014";"ha";192;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - kolejowe";"2014";"ha";162;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - inne";"2014";"ha";1;
"1465088";"Praga-Północ - dzielnica (8)";"grunty zabudowane i zurbanizowane - użytki kopalne";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"użytki ekologiczne";"2014";"ha";0;
"1465088";"Praga-Północ - dzielnica (8)";"nieużytki";"2014";"ha";29;
"1465088";"Praga-Północ - dzielnica (8)";"tereny różne";"2014";"ha";15;
"1465098";"Rembertów - dzielnica (8)";"ogółem";"2014";"ha";1930;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne razem";"2014";"ha";220;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne - grunty orne";"2014";"ha";169;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne - sady";"2014";"ha";2;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne - łąki trwałe";"2014";"ha";27;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne - pastwiska trwałe";"2014";"ha";17;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";2;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465098";"Rembertów - dzielnica (8)";"użytki rolne - grunty pod rowami";"2014";"ha";3;
"1465098";"Rembertów - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";751;
"1465098";"Rembertów - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";732;
"1465098";"Rembertów - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";19;
"1465098";"Rembertów - dzielnica (8)";"grunty pod wodami razem";"2014";"ha";1;
"1465098";"Rembertów - dzielnica (8)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
"1465098";"Rembertów - dzielnica (8)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";1;
"1465098";"Rembertów - dzielnica (8)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";0;
"1465098";"Rembertów - dzielnica (8)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";876;
"1465098";"Rembertów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";324;
"1465098";"Rembertów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny przemysłowe";"2014";"ha";171;
"1465098";"Rembertów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny inne zabudowane";"2014";"ha";140;
"1465098";"Rembertów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny zurbanizowane niezabudowane";"2014";"ha";26;
